,Images,IoU Count,Label
122,122,10.0,15
123,123,4.0,0
124,124,0.0,2
125,125,4.0,3
126,126,7.0,1
127,127,8.0,0
128,128,9.0,2
129,129,5.0,0
130,130,2.0,11
131,131,7.0,1
132,132,9.0,2
133,133,5.0,2
134,134,8.0,1
135,135,0.0,7
136,136,9.0,0
137,137,11.0,1
138,138,14.0,26
139,139,8.0,2
140,140,2.0,1
141,141,11.0,1
142,142,0.0,2
143,143,1.0,1
144,144,11.0,11
145,145,0.0,4
146,146,0.0,1
147,147,9.0,24
148,148,11.0,1
149,149,1.0,2
150,150,3.0,4
151,151,10.0,0
152,152,7.0,2
153,153,6.0,0
154,154,3.0,10
155,155,9.0,26
156,156,5.0,1
157,157,8.0,1
158,158,10.0,0
159,159,0.0,0
160,160,12.0,10
161,161,22.0,0
162,162,19.0,1
163,163,0.0,2
164,164,2.0,0
165,165,9.0,4
166,166,11.0,4
167,167,6.0,1
168,168,13.0,7
169,169,0.0,3
170,170,5.0,2
171,171,16.0,1
172,172,2.0,0
173,173,12.0,1
174,174,9.0,1
175,175,16.0,0
176,176,7.0,1
177,177,0.0,3
178,178,7.0,0
179,179,9.0,20
180,180,7.0,4
181,181,6.0,10
182,182,3.0,2
183,183,19.0,14
184,184,0.0,24
185,185,7.0,6
186,186,3.0,0
187,187,1.0,2
188,188,1.0,2
189,189,5.0,0
190,190,1.0,3
191,191,13.0,1
192,192,14.0,1
193,193,7.0,3
194,194,8.0,0
195,195,5.0,4
196,196,14.0,1
197,197,10.0,2
198,198,7.0,4
199,199,12.0,10
200,200,11.0,5
201,201,0.0,0
202,202,18.0,6
203,203,0.0,2
204,204,8.0,1
205,205,0.0,0
206,206,0.0,0
207,207,3.0,1
208,208,2.0,2
209,209,2.0,1
210,210,0.0,0
211,211,2.0,1
212,212,17.0,9
213,213,7.0,6
214,214,5.0,1
215,215,2.0,2
216,216,3.0,5
217,217,0.0,13
218,218,11.0,3
219,219,0.0,1
220,220,10.0,1
221,221,3.0,5
222,222,0.0,3
223,223,8.0,6
224,224,0.0,1
225,225,6.0,5
226,226,0.0,5
227,227,9.0,9
228,228,11.0,2
229,229,2.0,7
230,230,6.0,3
231,231,2.0,1
232,232,12.0,20
233,233,4.0,2
234,234,2.0,6
235,235,8.0,5
236,236,5.0,7
237,237,1.0,4
238,238,10.0,7
239,239,3.0,5
240,240,9.0,1
241,241,6.0,13
242,242,3.0,3
243,243,2.0,0
244,244,4.0,0
245,245,9.0,6
246,246,4.0,0
247,247,0.0,5
248,248,0.0,5
249,249,5.0,1
250,250,3.0,3
251,251,11.0,0
252,252,0.0,0
253,253,17.0,2
254,254,5.0,7
255,255,14.0,1
256,256,4.0,0
257,257,11.0,1
258,258,12.0,1
259,259,11.0,1
260,260,1.0,2
261,261,14.0,1
262,262,4.0,3
263,263,16.0,6
264,264,0.0,2
265,265,4.0,0
266,266,0.0,4
267,267,4.0,1
268,268,11.0,2
269,269,17.0,2
270,270,4.0,1
271,271,4.0,2
272,272,3.0,1
273,273,15.0,1
274,274,8.0,4
275,275,15.0,2
276,276,0.0,1
277,277,0.0,1
278,278,10.0,11
279,279,6.0,7
280,280,0.0,3
281,281,10.0,6
282,282,3.0,1
283,283,9.0,1
284,284,4.0,1
285,285,6.0,1
286,286,9.0,3
287,287,5.0,3
288,288,4.0,2
289,289,4.0,0
290,290,4.0,2
291,291,17.0,0
292,292,4.0,7
293,293,2.0,4
294,294,11.0,1
295,295,6.0,1
296,296,8.0,1
297,297,8.0,11
298,298,6.0,0
299,299,5.0,0
300,300,3.0,12
301,301,6.0,1
302,302,3.0,14
303,303,6.0,4
304,304,2.0,2
305,305,1.0,1
306,306,14.0,7
307,307,9.0,5
308,308,8.0,0
309,309,4.0,2
310,310,1.0,1
311,311,13.0,2
312,312,4.0,13
313,313,1.0,3
314,314,16.0,0
315,315,8.0,1
316,316,13.0,1
317,317,19.0,7
318,318,3.0,2
319,319,16.0,1
320,320,6.0,3
321,321,12.0,23
322,322,5.0,6
323,323,7.0,3
324,324,3.0,7
325,325,8.0,1
326,326,13.0,0
327,327,0.0,0
328,328,5.0,0
329,329,13.0,0
330,330,3.0,3
331,331,5.0,5
332,332,4.0,2
333,333,4.0,3
334,334,5.0,3
335,335,1.0,10
336,336,13.0,13
337,337,7.0,8
338,338,14.0,1
339,339,7.0,1
340,340,8.0,2
341,341,5.0,27
342,342,7.0,1
343,343,9.0,20
344,344,6.0,1
345,345,2.0,0
346,346,6.0,1
347,347,0.0,0
348,348,3.0,3
349,349,8.0,1
350,350,10.0,1
351,351,10.0,0
352,352,2.0,36
353,353,3.0,2
354,354,1.0,1
355,355,8.0,2
356,356,7.0,1
357,357,1.0,5
358,358,5.0,1
359,359,7.0,2
360,360,15.0,35
361,361,1.0,0
362,362,11.0,2
363,363,12.0,2
364,364,3.0,0
365,365,0.0,0
366,366,7.0,4
367,367,4.0,1
368,368,4.0,0
369,369,1.0,0
370,370,6.0,2
371,371,6.0,6
372,372,9.0,3
373,373,1.0,0
374,374,0.0,2
375,375,9.0,1
376,376,1.0,0
377,377,3.0,1
378,378,10.0,1
379,379,4.0,12
380,380,9.0,4
381,381,0.0,4
382,382,15.0,4
383,383,1.0,1
384,384,7.0,1
385,385,8.0,1
386,386,10.0,1
387,387,1.0,2
388,388,2.0,3
389,389,11.0,1
390,390,8.0,0
391,391,13.0,3
392,392,3.0,10
393,393,5.0,0
394,394,14.0,2
395,395,8.0,6
396,396,10.0,0
397,397,0.0,1
398,398,6.0,3
399,399,3.0,7
400,400,1.0,1
401,401,16.0,1
402,402,5.0,1
403,403,10.0,4
404,404,2.0,0
405,405,4.0,3
406,406,10.0,0
407,407,2.0,3
408,408,11.0,3
409,409,3.0,2
410,410,9.0,0
411,411,4.0,2
412,412,10.0,2
413,413,9.0,1
414,414,6.0,8
415,415,6.0,31
416,416,8.0,1
417,417,3.0,1
418,418,0.0,1
419,419,19.0,0
420,420,7.0,4
421,421,4.0,1
422,422,7.0,0
423,423,3.0,1
424,424,8.0,1
425,425,5.0,2
426,426,4.0,1
427,427,3.0,2
428,428,0.0,1
429,429,4.0,1
430,430,7.0,11
431,431,10.0,4
432,432,4.0,2
433,433,3.0,1
434,434,6.0,16
435,435,9.0,0
436,436,9.0,6
437,437,4.0,12
438,438,12.0,9
439,439,0.0,1
440,440,8.0,1
441,441,8.0,0
442,442,7.0,7
443,443,2.0,1
444,444,7.0,3
445,445,8.0,1
446,446,6.0,0
447,447,6.0,11
448,448,18.0,2
449,449,4.0,4
450,450,4.0,1
451,451,16.0,1
452,452,4.0,37
453,453,11.0,1
454,454,2.0,9
455,455,2.0,1
456,456,2.0,0
457,457,2.0,1
458,458,12.0,2
459,459,6.0,5
460,460,3.0,7
461,461,11.0,2
462,462,3.0,4
463,463,6.0,9
464,464,1.0,3
465,465,11.0,1
466,466,2.0,2
467,467,10.0,2
468,468,0.0,2
469,469,11.0,0
470,470,3.0,1
471,471,16.0,2
472,472,8.0,4
473,473,6.0,30
474,474,0.0,0
475,475,3.0,0
476,476,6.0,3
477,477,3.0,6
478,478,3.0,1
479,479,11.0,3
480,480,1.0,12
481,481,9.0,0
482,482,3.0,2
483,483,1.0,2
484,484,21.0,11
485,485,7.0,11
486,486,1.0,6
487,487,3.0,1
488,488,6.0,1
489,489,3.0,1
490,490,3.0,1
491,491,0.0,10
492,492,10.0,0
493,493,2.0,0
494,494,3.0,1
495,495,7.0,9
496,496,9.0,18
497,497,11.0,1
498,498,1.0,8
499,499,26.0,4
