,Images,IoU Count,Label
228,228,10.0,2
229,229,2.0,7
230,230,11.0,3
231,231,1.0,1
232,232,16.0,20
233,233,5.0,2
234,234,2.0,6
235,235,3.0,5
236,236,4.0,7
237,237,1.0,4
238,238,10.0,7
239,239,2.0,5
240,240,11.0,1
241,241,1.0,13
242,242,0.0,3
243,243,1.0,0
244,244,5.0,0
245,245,10.0,6
246,246,8.0,0
247,247,0.0,5
248,248,0.0,5
249,249,5.0,1
250,250,3.0,3
251,251,9.0,0
252,252,0.0,0
253,253,23.0,2
254,254,6.0,7
255,255,13.0,1
256,256,4.0,0
257,257,13.0,1
258,258,11.0,1
259,259,14.0,1
260,260,1.0,2
261,261,16.0,1
262,262,6.0,3
263,263,10.0,6
264,264,0.0,2
265,265,5.0,0
266,266,0.0,4
267,267,5.0,1
268,268,9.0,2
269,269,15.0,2
270,270,2.0,1
271,271,3.0,2
272,272,4.0,1
273,273,15.0,1
274,274,11.0,4
275,275,13.0,2
276,276,0.0,1
277,277,0.0,1
278,278,13.0,11
279,279,8.0,7
280,280,1.0,3
281,281,13.0,6
282,282,4.0,1
283,283,4.0,1
284,284,3.0,1
285,285,6.0,1
286,286,10.0,3
287,287,7.0,3
288,288,3.0,2
289,289,2.0,0
290,290,7.0,2
291,291,19.0,0
292,292,5.0,7
293,293,1.0,4
294,294,12.0,1
295,295,6.0,1
296,296,9.0,1
297,297,9.0,11
298,298,6.0,0
299,299,4.0,0
300,300,1.0,12
301,301,9.0,1
302,302,2.0,14
303,303,6.0,4
304,304,2.0,2
305,305,1.0,1
306,306,7.0,7
307,307,7.0,5
308,308,6.0,0
309,309,7.0,2
310,310,3.0,1
311,311,0.0,2
312,312,1.0,13
313,313,0.0,3
314,314,15.0,0
315,315,14.0,1
316,316,15.0,1
317,317,24.0,7
318,318,2.0,2
319,319,16.0,1
320,320,7.0,3
321,321,9.0,23
322,322,2.0,6
323,323,10.0,3
324,324,1.0,7
325,325,7.0,1
326,326,15.0,0
327,327,0.0,0
328,328,8.0,0
329,329,14.0,0
330,330,3.0,3
331,331,3.0,5
332,332,2.0,2
333,333,2.0,3
334,334,4.0,3
335,335,9.0,10
336,336,12.0,13
337,337,6.0,8
338,338,14.0,1
339,339,11.0,1
340,340,0.0,2
341,341,1.0,27
342,342,8.0,1
343,343,5.0,20
344,344,0.0,1
345,345,3.0,0
346,346,6.0,1
347,347,0.0,0
348,348,2.0,3
349,349,10.0,1
350,350,11.0,1
351,351,9.0,0
352,352,3.0,36
353,353,2.0,2
354,354,3.0,1
355,355,7.0,2
356,356,10.0,1
357,357,0.0,5
358,358,4.0,1
359,359,9.0,2
360,360,15.0,35
361,361,2.0,0
362,362,18.0,2
363,363,10.0,2
364,364,4.0,0
365,365,4.0,0
366,366,8.0,4
367,367,4.0,1
368,368,6.0,0
369,369,3.0,0
370,370,6.0,2
371,371,10.0,6
372,372,9.0,3
373,373,0.0,0
374,374,0.0,2
375,375,9.0,1
376,376,1.0,0
377,377,2.0,1
378,378,13.0,1
379,379,1.0,12
380,380,10.0,4
381,381,0.0,4
382,382,23.0,4
383,383,1.0,1
384,384,9.0,1
385,385,8.0,1
386,386,6.0,1
387,387,1.0,2
388,388,6.0,3
389,389,6.0,1
390,390,9.0,0
391,391,11.0,3
392,392,1.0,10
393,393,6.0,0
394,394,14.0,2
395,395,7.0,6
396,396,12.0,0
397,397,0.0,1
398,398,1.0,3
399,399,2.0,7
400,400,1.0,1
401,401,12.0,1
402,402,6.0,1
403,403,14.0,4
404,404,3.0,0
405,405,4.0,3
406,406,3.0,0
407,407,3.0,3
408,408,13.0,3
409,409,3.0,2
410,410,11.0,0
411,411,2.0,2
412,412,10.0,2
413,413,7.0,1
414,414,6.0,8
415,415,7.0,31
416,416,3.0,1
417,417,3.0,1
418,418,2.0,1
419,419,17.0,0
420,420,8.0,4
421,421,2.0,1
422,422,7.0,0
423,423,2.0,1
424,424,4.0,1
425,425,8.0,2
426,426,6.0,1
427,427,5.0,2
428,428,0.0,1
429,429,4.0,1
430,430,7.0,11
431,431,7.0,4
432,432,10.0,2
433,433,3.0,1
434,434,7.0,16
435,435,7.0,0
436,436,9.0,6
437,437,4.0,12
438,438,11.0,9
439,439,1.0,1
440,440,8.0,1
441,441,7.0,0
442,442,5.0,7
443,443,3.0,1
444,444,7.0,3
445,445,11.0,1
446,446,7.0,0
447,447,5.0,11
448,448,0.0,2
449,449,5.0,4
450,450,2.0,1
451,451,17.0,1
452,452,5.0,37
453,453,11.0,1
454,454,2.0,9
455,455,2.0,1
456,456,1.0,0
457,457,2.0,1
458,458,12.0,2
459,459,6.0,5
460,460,2.0,7
461,461,16.0,2
462,462,2.0,4
463,463,6.0,9
464,464,1.0,3
465,465,5.0,1
466,466,0.0,2
467,467,12.0,2
468,468,1.0,2
469,469,14.0,0
470,470,6.0,1
471,471,16.0,2
472,472,8.0,4
473,473,4.0,30
474,474,0.0,0
475,475,3.0,0
476,476,3.0,3
477,477,2.0,6
478,478,5.0,1
479,479,10.0,3
480,480,1.0,12
481,481,3.0,0
482,482,6.0,2
483,483,0.0,2
484,484,23.0,11
485,485,7.0,11
486,486,1.0,6
487,487,4.0,1
488,488,5.0,1
489,489,2.0,1
490,490,4.0,1
491,491,0.0,10
492,492,9.0,0
493,493,2.0,0
494,494,3.0,1
495,495,9.0,9
496,496,9.0,18
497,497,7.0,1
498,498,1.0,8
499,499,22.0,4
