,Images,IoU Count,Label
175,175,8.0,0
176,176,0.0,1
177,177,0.0,3
178,178,2.0,0
179,179,4.0,20
180,180,0.0,4
181,181,6.0,10
182,182,2.0,2
183,183,7.0,14
184,184,0.0,24
185,185,8.0,6
186,186,3.0,0
187,187,1.0,2
188,188,0.0,2
189,189,1.0,0
190,190,4.0,3
191,191,9.0,1
192,192,8.0,1
193,193,5.0,3
194,194,7.0,0
195,195,0.0,4
196,196,6.0,1
197,197,8.0,2
198,198,6.0,4
199,199,13.0,10
200,200,4.0,5
201,201,1.0,0
202,202,9.0,6
203,203,0.0,2
204,204,6.0,1
205,205,0.0,0
206,206,0.0,0
207,207,6.0,1
208,208,3.0,2
209,209,0.0,1
210,210,3.0,0
211,211,1.0,1
212,212,14.0,9
213,213,5.0,6
214,214,3.0,1
215,215,0.0,2
216,216,3.0,5
217,217,1.0,13
218,218,1.0,3
219,219,1.0,1
220,220,3.0,1
221,221,1.0,5
222,222,0.0,3
223,223,3.0,6
224,224,1.0,1
225,225,4.0,5
226,226,1.0,5
227,227,6.0,9
228,228,5.0,2
229,229,2.0,7
230,230,1.0,3
231,231,1.0,1
232,232,13.0,20
233,233,4.0,2
234,234,2.0,6
235,235,3.0,5
236,236,2.0,7
237,237,1.0,4
238,238,8.0,7
239,239,3.0,5
240,240,11.0,1
241,241,1.0,13
242,242,0.0,3
243,243,1.0,0
244,244,4.0,0
245,245,8.0,6
246,246,1.0,0
247,247,0.0,5
248,248,0.0,5
249,249,5.0,1
250,250,3.0,3
251,251,6.0,0
252,252,0.0,0
253,253,22.0,2
254,254,6.0,7
255,255,2.0,1
256,256,5.0,0
257,257,8.0,1
258,258,6.0,1
259,259,5.0,1
260,260,1.0,2
261,261,11.0,1
262,262,3.0,3
263,263,2.0,6
264,264,0.0,2
265,265,3.0,0
266,266,0.0,4
267,267,5.0,1
268,268,8.0,2
269,269,14.0,2
270,270,2.0,1
271,271,3.0,2
272,272,4.0,1
273,273,11.0,1
274,274,8.0,4
275,275,13.0,2
276,276,0.0,1
277,277,0.0,1
278,278,9.0,11
279,279,8.0,7
280,280,1.0,3
281,281,11.0,6
282,282,1.0,1
283,283,4.0,1
284,284,2.0,1
285,285,3.0,1
286,286,9.0,3
287,287,6.0,3
288,288,1.0,2
289,289,2.0,0
290,290,4.0,2
291,291,13.0,0
292,292,1.0,7
293,293,1.0,4
294,294,0.0,1
295,295,5.0,1
296,296,8.0,1
297,297,3.0,11
298,298,5.0,0
299,299,4.0,0
300,300,1.0,12
301,301,9.0,1
302,302,1.0,14
303,303,6.0,4
304,304,1.0,2
305,305,1.0,1
306,306,2.0,7
307,307,3.0,5
308,308,3.0,0
309,309,4.0,2
310,310,2.0,1
311,311,0.0,2
312,312,1.0,13
313,313,1.0,3
314,314,14.0,0
315,315,8.0,1
316,316,11.0,1
317,317,15.0,7
318,318,1.0,2
319,319,7.0,1
320,320,6.0,3
321,321,3.0,23
322,322,1.0,6
323,323,4.0,3
324,324,1.0,7
325,325,3.0,1
326,326,12.0,0
327,327,0.0,0
328,328,9.0,0
329,329,4.0,0
330,330,1.0,3
331,331,3.0,5
332,332,2.0,2
333,333,2.0,3
334,334,4.0,3
335,335,1.0,10
336,336,7.0,13
337,337,3.0,8
338,338,12.0,1
339,339,7.0,1
340,340,0.0,2
341,341,1.0,27
342,342,5.0,1
343,343,3.0,20
344,344,0.0,1
345,345,1.0,0
346,346,5.0,1
347,347,0.0,0
348,348,3.0,3
349,349,9.0,1
350,350,9.0,1
351,351,7.0,0
352,352,3.0,36
353,353,2.0,2
354,354,3.0,1
355,355,6.0,2
356,356,5.0,1
357,357,0.0,5
358,358,1.0,1
359,359,8.0,2
360,360,12.0,35
361,361,2.0,0
362,362,8.0,2
363,363,9.0,2
364,364,1.0,0
365,365,2.0,0
366,366,7.0,4
367,367,3.0,1
368,368,0.0,0
369,369,2.0,0
370,370,5.0,2
371,371,3.0,6
372,372,8.0,3
373,373,0.0,0
374,374,0.0,2
375,375,1.0,1
376,376,1.0,0
377,377,2.0,1
378,378,3.0,1
379,379,1.0,12
380,380,8.0,4
381,381,0.0,4
382,382,4.0,4
383,383,1.0,1
384,384,6.0,1
385,385,8.0,1
386,386,5.0,1
387,387,1.0,2
388,388,6.0,3
389,389,6.0,1
390,390,7.0,0
391,391,5.0,3
392,392,1.0,10
393,393,1.0,0
394,394,11.0,2
395,395,5.0,6
396,396,3.0,0
397,397,0.0,1
398,398,1.0,3
399,399,2.0,7
400,400,1.0,1
401,401,14.0,1
402,402,4.0,1
403,403,10.0,4
404,404,2.0,0
405,405,2.0,3
406,406,2.0,0
407,407,2.0,3
408,408,12.0,3
409,409,2.0,2
410,410,6.0,0
411,411,2.0,2
412,412,6.0,2
413,413,6.0,1
414,414,5.0,8
415,415,7.0,31
416,416,2.0,1
417,417,1.0,1
418,418,3.0,1
419,419,15.0,0
420,420,8.0,4
421,421,0.0,1
422,422,5.0,0
423,423,2.0,1
424,424,3.0,1
425,425,6.0,2
426,426,4.0,1
427,427,5.0,2
428,428,0.0,1
429,429,4.0,1
430,430,6.0,11
431,431,2.0,4
432,432,0.0,2
433,433,2.0,1
434,434,5.0,16
435,435,5.0,0
436,436,6.0,6
437,437,2.0,12
438,438,7.0,9
439,439,2.0,1
440,440,7.0,1
441,441,7.0,0
442,442,5.0,7
443,443,2.0,1
444,444,3.0,3
445,445,12.0,1
446,446,7.0,0
447,447,5.0,11
448,448,0.0,2
449,449,4.0,4
450,450,1.0,1
451,451,10.0,1
452,452,3.0,37
453,453,8.0,1
454,454,2.0,9
455,455,2.0,1
456,456,1.0,0
457,457,0.0,1
458,458,7.0,2
459,459,5.0,5
460,460,2.0,7
461,461,11.0,2
462,462,2.0,4
463,463,5.0,9
464,464,1.0,3
465,465,3.0,1
466,466,0.0,2
467,467,7.0,2
468,468,1.0,2
469,469,11.0,0
470,470,5.0,1
471,471,7.0,2
472,472,6.0,4
473,473,3.0,30
474,474,0.0,0
475,475,3.0,0
476,476,3.0,3
477,477,1.0,6
478,478,4.0,1
479,479,3.0,3
480,480,0.0,12
481,481,1.0,0
482,482,4.0,2
483,483,1.0,2
484,484,18.0,11
485,485,0.0,11
486,486,1.0,6
487,487,4.0,1
488,488,3.0,1
489,489,2.0,1
490,490,3.0,1
491,491,0.0,10
492,492,8.0,0
493,493,2.0,0
494,494,3.0,1
495,495,7.0,9
496,496,7.0,18
497,497,3.0,1
498,498,0.0,8
499,499,19.0,4
